Task,Planned action,Planned outcome,Time estimated,Target completion date
,Work on code,change author from calvi to my actual name, ,2018-08-25 (7 weeks ago)
,Work on code,Cleaned up functions and improved create accounts screen, ,2018-08-25 (7 weeks ago)
,Work on code,Buttons and labels now work for release too, ,2018-08-25 (7 weeks ago)
,Work on code,Big one: fixed buttons toggling and create account only works if it fields are filled all the way To do: pressed not clicked for buttons, ,2018-08-25 (7 weeks ago)
,Work on code,added writing accounts to file and loading, ,2018-08-24 (7 weeks ago)
,Work on code,added create account, ,2018-08-24 (7 weeks ago)
,Work on code,update readme, ,2018-08-24 (7 weeks ago)
,Work on code,update readme, ,2018-08-24 (7 weeks ago)
,Work on code,Added Accountmanager and user classes., ,2018-08-24 (7 weeks ago)
,Work on code,added checked and unchecked icons - may not be used, ,2018-08-24 (7 weeks ago)
,Work on code,login creates new screen, ,2018-08-24 (7 weeks ago)
,Work on code,Made it look nicer and added icons, ,2018-08-24 (7 weeks ago)
,Work on code,add lib, ,2018-08-24 (7 weeks ago)
,Work on code,update readme, ,2018-08-24 (7 weeks ago)
,Work on code,update readme, ,2018-08-24 (7 weeks ago)
,Work on code,Create README.md, ,2018-08-23 (7 weeks ago)
,Work on code,Fixed opacity problem and added X, ,2018-08-23 (7 weeks ago)
,Work on code,First commit, ,2018-08-23 (7 weeks ago)
